num_dealer,region_dealer,code_piece,libelle_piece,quantite_piece,prix_unitaire_ht,id_facture,date_facture,categorie_piece,taux_remise
5362,Provence-Alpes-Côte d'Azur,P7055,Embrayage,34,495.03,F433567,2020-03-30,Carrosserie,7.39
7825,Île-de-France,P3291,Pneumatique,95,475.34,F415177,2020-01-01,Électronique,29.67
8769,Île-de-France,P7724,Embrayage,44,740.51,F438211,2019-05-10,Carrosserie,45.65
8667,Auvergne-Rhône-Alpes,P9273,Frein,28,488.61,F632672,2021-02-08,Carrosserie,6.19
1888,Île-de-France,P4889,Suspension,53,567.58,F448237,2021-06-11,Accessoires,14.92
9304,Île-de-France,P1657,Moteur,8,464.4,F129628,2019-01-27,Carrosserie,28.11
8160,Provence-Alpes-Côte d'Azur,P6104,Embrayage,41,278.18,F323161,2019-04-10,Électronique,49.71
6010,Provence-Alpes-Côte d'Azur,P2321,Électronique,63,393.56,F923731,2020-08-24,Électronique,11.59
9350,Île-de-France,P5576,Frein,96,942.05,F278473,2020-08-05,Mécanique,13.69
2671,Nouvelle-Aquitaine,P6777,Suspension,91,357.69,F496342,2020-09-24,Électronique,4.88
5216,Auvergne-Rhône-Alpes,P2579,Électronique,38,300.54,F639073,2019-04-01,Accessoires,20.58
7388,Nouvelle-Aquitaine,P3224,Pneumatique,28,121.86,F538084,2021-08-12,Carrosserie,25.06
1955,Nouvelle-Aquitaine,P3850,Transmission,26,953.32,F388006,2021-09-13,Accessoires,42.7
9769,Auvergne-Rhône-Alpes,P8795,Embrayage,32,269.91,F417404,2021-05-28,Électronique,23.02
9194,Île-de-France,P9074,Frein,35,132.9,F618798,2021-06-24,Carrosserie,29.07
1823,Occitanie,P9320,Suspension,73,77.65,F644840,2020-04-05,Mécanique,42.83
6312,Île-de-France,P3022,Moteur,36,133.51,F515555,2021-03-16,Accessoires,29.78
2797,Auvergne-Rhône-Alpes,P6895,Frein,96,83.82,F623641,2019-10-06,Électronique,9.22
1664,Provence-Alpes-Côte d'Azur,P7872,Électronique,35,419.76,F530079,2021-04-06,Accessoires,0.91
5289,Nouvelle-Aquitaine,P3400,Moteur,64,830.47,F144573,2021-09-29,Mécanique,8.79
